date,RET,Mkt-RF,SMB,HML,RMW,CMA,RF
20061016,-0.021609,0.003400,0.006200,-0.003200,0.001800,-0.002200,0.000180
20061017,-0.003988,-0.004400,-0.001800,0.004100,-0.001300,0.003600,0.000180
20061018,-0.004928,0.000800,-0.003300,0.000300,0.001100,0.002100,0.000180
20061019,0.007119,0.001000,0.004500,-0.000900,0.000000,-0.002400,0.000180
20061020,0.000922,-0.000200,-0.007200,0.000400,0.001100,0.001900,0.000180
20061023,0.009518,0.005600,-0.004700,-0.001900,0.000600,-0.001000,0.000180
20061024,0.022810,0.000100,-0.001500,0.002200,0.003800,-0.005100,0.000180
20061025,0.120428,0.003200,0.002400,-0.000900,0.002300,-0.001100,0.000180
20061026,0.016454,0.006300,0.004300,0.002000,-0.004000,0.000900,0.000180
20061027,-0.001567,-0.008800,-0.003200,0.001200,-0.000200,0.002900,0.000180
20061030,-0.002354,0.000700,0.003900,-0.000100,-0.002200,0.003800,0.000180
20061031,-0.001573,-0.000700,-0.003500,-0.001100,-0.000400,-0.001500,0.000180
20061101,-0.013914,-0.008700,-0.009500,0.002700,0.003100,0.005100,0.000200
20061102,-0.002929,-0.000500,-0.002200,0.000500,-0.001200,-0.001700,0.000200
20061103,0.000267,-0.001200,0.005700,-0.001400,-0.000200,-0.001600,0.000200
20061106,0.020021,0.011600,0.002300,-0.001100,-0.000500,-0.000300,0.000200
20061107,0.014656,0.002300,0.000200,-0.003000,-0.003100,0.000900,0.000200
20061108,0.018055,0.002900,0.003500,0.003300,-0.001300,0.000000,0.000200
20061109,-0.015962,-0.005800,-0.003900,0.003300,0.002300,0.001000,0.000200
20061110,0.010814,0.002600,0.006600,-0.000300,-0.002000,-0.000800,0.000200
20061113,0.018594,0.002700,0.001400,0.000200,-0.003000,0.000100,0.000200
20061114,0.038009,0.007100,0.008700,-0.002300,0.001600,-0.001500,0.000200
20061115,0.026259,0.003500,0.005400,-0.004100,0.000900,-0.001100,0.000200
20061116,0.005634,0.001600,-0.003300,0.001100,-0.002600,0.005200,0.000200
20061117,-0.006769,0.000300,-0.003500,-0.001200,0.001500,-0.000900,0.000200
20061120,-0.002585,-0.000600,0.002300,0.000500,0.000500,-0.000500,0.000200
20061121,0.002356,0.001400,0.000200,-0.000800,0.001600,-0.005000,0.000200
20061122,0.009873,0.002800,-0.001500,-0.002500,-0.000700,-0.000100,0.000200
20061124,-0.012803,-0.003200,0.002600,0.000900,-0.000200,-0.001100,0.000200
20061127,-0.036784,-0.015300,-0.009500,0.003200,0.002600,0.000600,0.000200
20061128,0.001714,0.003000,-0.000100,-0.000400,0.002800,-0.001600,0.000200
20061129,-0.007087,0.009500,0.001900,-0.000400,0.002100,-0.004000,0.000200
20061130,-0.007138,0.001100,0.001200,0.002100,-0.003000,-0.001400,0.000200
20061201,-0.023054,-0.003000,-0.003000,0.001100,0.001000,-0.000300,0.000200
20061204,-0.007866,0.009900,0.008300,-0.001600,0.000200,0.000000,0.000200
20061205,-0.003069,0.004100,-0.001600,0.002400,-0.000400,-0.001200,0.000200
20061206,-0.002052,-0.001000,-0.000600,0.002400,-0.001300,-0.000600,0.000200
20061207,-0.020051,-0.004100,0.000000,0.000800,-0.000300,0.002100,0.000200
20061208,0.008919,0.001400,-0.001600,0.000100,-0.001700,0.002000,0.000200
20061211,0.005980,0.001800,-0.002400,0.006500,-0.001400,0.000400,0.000200
20061212,-0.005945,-0.002000,-0.004700,0.004500,-0.001000,0.002100,0.000200
20061213,0.001040,0.000900,-0.000300,0.001700,0.002400,-0.000200,0.000200
20061214,0.013507,0.008000,-0.001300,-0.001200,0.002000,0.002900,0.000200
20061215,0.025372,0.000700,-0.003200,0.004000,-0.003600,0.003100,0.000200
20061218,-0.018745,-0.004600,-0.009500,0.001700,-0.003100,0.004200,0.000200
20061219,0.004075,0.001600,-0.001200,0.000400,0.001100,0.000500,0.000200
20061220,0.014967,-0.001200,0.005600,0.000800,-0.001700,0.002200,0.000200
20061221,-0.002999,-0.003800,0.000500,0.003500,-0.001000,0.001600,0.000200
20061222,0.008774,-0.004800,0.003000,0.000900,-0.000600,0.001100,0.000200
20061226,-0.010934,0.004400,0.003700,0.003700,0.000300,0.002500,0.000200
20061227,0.012312,0.007400,0.005200,-0.000400,0.002100,-0.000800,0.000200
20061228,-0.001986,-0.001800,-0.001700,-0.000100,0.000900,-0.001100,0.000200
20061229,-0.018652,-0.005100,-0.002900,-0.000200,-0.001500,-0.000700,0.000200
20070103,-0.019260,-0.000400,0.000000,0.001400,-0.000900,0.008500,0.000220
20070104,0.005168,0.001600,0.001300,-0.005100,-0.002500,0.000300,0.000220
